date,simulation,observation
2013-03-13,0.112958662382209,1.23
2013-03-18,0.13636639158128538,0.986
2013-05-07,0.04394343074114033,1.69
2013-06-17,0.043653698730389226,1.17
2013-07-09,0.043273927604758095,1.6
2013-08-12,0.09213451619692156,1.87
2013-09-04,0.044359514157344494,1.96
2013-10-16,0.05477219649768258,1.16
2013-11-14,0.25575469998353173,1.04
2013-11-27,0.24552327679357303,1.12
2014-01-08,0.14753190894131196,1.43
2014-02-06,0.13995664309555608,1.11
2014-03-13,0.23515758307465595,1.19
2014-05-12,0.2514537694549339,0.826
2014-08-15,0.358842248550758,0.716
2014-11-12,0.5856138017988802,1.41
2015-03-13,0.21842292798136917,1.37
2015-06-22,0.1804216399901435,1.26
2015-09-18,0.19556805260329949,1.01
2015-12-01,0.5427409462255773,1.07
2016-01-19,0.2248827866344954,1.49
2016-04-11,0.16726209171051365,1.15
2016-07-18,0.08716417715708419,1.49
2016-10-28,0.09390025056141266,1.08
2017-02-20,0.10646246277206227,1.33
