date,simulation,observation
2000-01-11,0.00010155974169967022,4.41
2000-01-24,0.0003968557316498456,5.26
2000-02-17,0.007120727397104205,0.564
2000-03-01,0.01077655706283482,3.24
2000-03-22,0.003953724086101089,5.1
2000-05-17,0.22991655290928317,5.01
2000-07-11,0.4270460763344698,2.9
2000-08-16,0.4697169877179263,3.33
2000-10-04,0.8143394220523468,3.34
2000-10-30,0.7479795533833734,1.23
2000-11-20,0.45415536675486057,0.868
2000-12-08,0.3241268217474133,2.11
2001-02-01,0.25745195270700355,3.45
2001-02-20,0.29429600261056554,4.23
2001-07-23,0.5900375605904309,4.75
2001-09-04,0.6128117888361745,4.57
2001-10-02,0.27023064514607453,3.15
2001-10-16,0.5748508373844217,2.81
2001-11-15,1.039853088317267,2.95
2001-12-18,1.1055572948522099,4.0
2002-01-18,0.5440764636842671,2.69
2002-02-01,0.324103329882732,2.08
2002-02-13,0.41232317644133465,3.27
2002-03-07,0.20519551576594552,4.26
2002-04-19,0.35575395745998967,4.34
2002-05-08,0.38129792549950514,3.88
2002-07-25,0.8003576063248621,5.05
2002-08-12,0.928809617169299,4.76
2002-10-08,1.0067711387985372,4.92
2002-10-29,1.1587659448897236,3.64
2002-11-28,0.49596069386767616,2.8
2002-12-18,0.591482220597514,4.11
2003-01-15,0.3656058540898954,4.54
2003-02-04,0.36448054399649055,2.75
2003-03-27,0.18310212096050127,5.05
2003-05-09,0.3109800937167957,4.96
2003-06-18,0.29845309876243764,5.51
2003-08-05,0.14287207955498116,4.16
2003-08-27,0.284710739838779,4.21
2003-10-08,0.258816158064608,4.72
2003-11-11,0.0978279695859098,2.35
2003-11-16,0.23941928599337714,1.96
2004-01-13,1.0055047336775915,3.96
2004-03-05,0.8181816891557915,5.54
2004-04-07,0.9387813366790463,3.42
2004-04-29,0.970486827405873,3.86
2004-05-25,0.98767745006995,5.07
2004-07-07,0.42492671653407726,5.05
2004-08-23,0.2003796618198891,2.95
2004-09-15,0.8489312169837258,3.39
2004-10-15,0.4423909545222131,3.27
2004-10-29,0.9758516138474049,1.91
2004-11-24,1.0549099736160157,3.96
2004-12-13,1.1155200615630325,4.45
2005-01-14,0.5316582573799284,4.47
2005-01-31,0.5437621162171882,5.4
2005-02-11,0.1737720637647846,3.17
2005-03-10,0.2771696163303218,4.41
2005-04-04,0.4699418845584707,3.51
2005-06-24,0.31641523911254665,4.66
2005-07-14,0.40481672614678993,4.8
2005-07-26,0.8179493962840271,3.8
2005-09-05,0.8074979521729575,5.16
2005-10-21,0.4547371169944602,3.95
2005-11-17,1.2326084115152793,4.82
2005-12-02,0.673269343269135,2.77
2006-01-06,0.7707585057763735,4.63
2006-01-26,0.7508822135172359,4.61
2006-03-02,0.558912457610762,3.74
2006-04-06,0.5933820491986479,4.56
2006-04-19,0.4870377378504498,4.49
2006-05-09,0.5312845563205123,4.23
2006-06-26,0.1821732347888275,4.65
2006-08-23,0.2223998492557175,4.96
2006-09-19,0.5384656305872866,5.23
2006-11-07,1.1992678247209603,3.77
2006-12-12,0.6042741143347758,3.8
2013-02-06,0.08410042027620515,3.28
2013-05-02,0.12917382854256573,3.67
2013-08-13,0.1511227450390531,3.89
2013-11-07,1.1065301961548741,2.16
2014-03-06,0.3259802731787901,2.74
2014-06-05,0.40056665505793543,3.09
2014-09-15,0.5229365293992992,3.55
2014-12-01,0.8626717316626117,3.32
2015-01-15,0.4038732747535575,1.98
2015-04-16,0.2182082586578413,3.28
2015-07-06,0.27984453498509554,3.43
2015-10-16,1.0383126464954833,3.35
2016-02-04,0.3011579176449409,2.8
2016-05-11,0.12360902174848973,3.52
2016-08-08,0.2534504853576602,3.21
2016-11-14,0.11580134329459908,2.53
2017-03-13,0.7550684717637218,3.04
