catchment_id,outfall_arc
GB103024077360,node_1243-to-node_1244
GB103024077370,node_1250-to-node_1251
GB103024077380,node_1254-to-node_1255
GB103024077390,node_1257-to-node_1258
GB103024077410,node_1262-to-node_1259
GB103024077430,node_1266-to-node_1267
GB103024077440,node_1267-to-node_1187
GB103024077441,node_1280-to-node_1281
GB103024077450,node_861-to-node_862
GB103024077461,node_1182-to-node_864
GB103024077463,node_867-to-node_868
GB103024077470,node_1176-to-node_1175
GB103024077480,node_1181-to-node_1182
GB103024077490,node_1183-to-node_1184
GB103024077500,node_1191-to-node_1189
GB103024077510,node_1203-to-node_1204
GB103024077520,node_1316-to-node_1317
GB103024077530,node_1319-to-node_1320
GB103024077540,node_1329-to-node_1327
GB103024077551,node_1332-to-node_1333
GB103024077552,node_827-to-node_828
GB103024077560,node_1359-to-node_1360
GB103024077570,node_1375-to-node_1370
GB103024077580,node_1374-to-node_1373
GB103024077590,node_1376-to-node_1377
GB103024077600,node_1362-to-node_1151
GB103024077621,node_1173-to-node_1154
GB103024077622,node_1192-to-node_1193
GB103024077623,node_1195-to-node_1196
GB103024077624,node_1371-to-node_1164
GB103024077630,node_1378-to-node_1379
GB103024077640,node_1432-to-node_1433
GB103025071850,node_1434-to-node_1435
GB103025071860,node_1437-to-node_1438
GB103025071870,node_1446-to-node_1445
GB103025071880,node_1447-to-node_1448
GB103025071890,node_1458-to-node_1455
GB103025071940,node_1473-to-node_1474
GB103025071950,node_1476-to-node_1223
GB103025071960,node_1226-to-node_1227
GB103025071970,node_1233-to-node_1232
GB103025072030,node_1235-to-node_1236
GB103025072050,node_1289-to-node_1286
GB103025072060,node_1032-to-node_964
GB103025072070,node_1303-to-node_1304
GB103025072100,node_1297-to-node_970
GB103025072120,node_980-to-node_981
GB103025072130,node_976-to-node_977
GB103025072140,node_966-to-node_967
GB103025072150,node_1030-to-node_1031
GB103025072160,node_1038-to-node_1034
GB103025072170,node_1206-to-node_1207
GB103025072180,node_1209-to-node_1210
GB103025072200,node_1045-to-node_1046
GB103025072210,node_1050-to-node_1051
GB103025072240,node_1110-to-node_1111
GB103025072260,node_1118-to-node_1119
GB103025072270,node_1121-to-node_1122
GB103025072280,node_1125-to-node_1124
GB103025072300,node_1130-to-node_1131
GB103025072330,node_1108-to-node_1109
GB103025072340,node_1116-to-node_1117
GB103025072351,node_1309-to-node_1306
GB103025072370,node_937-to-node_938
GB103025072380,node_1545-to-node_1544
GB103025072391,node_1253-to-node_922
GB103025072400,node_932-to-node_933
GB103025072410,node_792-to-node_789
GB103025072420,node_944-to-node_945
GB103025072430,node_2778-to-node_1638
GB103025072440,node_1640-to-node_1641
GB103025072450,node_2822-to-node_2823
GB103025072480,node_2601-to-node_2602
GB103025072490,node_2604-to-node_2605
GB103025072500,node_2607-to-node_2608
GB103025072520,node_2699-to-node_2700
GB103025072530,node_2721-to-node_2722
GB103025072540,node_2946-to-node_2942
GB103025072550,node_2949-to-node_2948
GB103025072596,node_2979-to-node_2980
GB103025075910,node_2753-to-node_2752
GB103025075930,node_2757-to-node_2756
GB103025075950,node_2761-to-node_2762
GB103025076010,node_1315-to-node_946
GB103025076030,node_2773-to-node_2774
GB103025076050,node_2775-to-node_2776
GB103025076070,node_2777-to-node_2778
GB103025076080,node_2776-to-node_2723
GB104026066510,node_2828-to-node_2829
GB104026066570,node_2704-to-node_2705
GB104026066590,node_2706-to-node_2707
GB104026066600,node_2724-to-node_2725
GB104026066610,node_2852-to-node_2853
GB104026066630,node_3012-to-node_3013
GB104026066640,node_2831-to-node_2832
GB104026066650,node_3015-to-node_3016
GB104026066660,node_3027-to-node_3018
GB104026066720,node_3037-to-node_3038
GB104026066750,node_3043-to-node_3040
GB104026066790,node_2834-to-node_2835
GB104026066800,node_3178-to-node_3045
GB104026066841,node_3105-to-node_3106
GB104026066860,node_3110-to-node_3109
GB104026066890,node_3153-to-node_3154
GB104026066901,node_3155-to-node_3156
GB104026066941,node_3172-to-node_3173
GB104026066970,node_2879-to-node_2880
GB104026066980,node_2882-to-node_2883
GB104026066990,node_3182-to-node_3183
GB104026067010,node_3190-to-node_3191
GB104026067021,node_20364-to-node_20363
GB104026067040,node_1768-to-node_1743
GB104026067101,node_1277-to-node_1275
GB104026067200,node_2853-to-node_2708
GB104026067230,node_2821-to-node_2818
GB104026072790,node_2866-to-node_2862
GB104027052280,node_2840-to-node_2841
GB104027057290,node_2845-to-node_2846
GB104027057301,node_2908-to-node_2851
GB104027057320,node_2912-to-node_2910
GB104027057340,node_2913-to-node_2914
GB104027057360,node_2916-to-node_2917
GB104027057370,node_2919-to-node_2920
GB104027057380,node_2930-to-node_2931
GB104027057400,node_2934-to-node_2935
GB104027057411,node_2802-to-node_2803
GB104027057413,node_3214-to-node_2918
GB104027057420,node_3187-to-node_3188
GB104027057430,node_2779-to-node_2780
GB104027057440,node_2790-to-node_2788
GB104027057452,node_4971-to-node_2793
GB104027057460,node_2804-to-node_2801
GB104027057490,node_2990-to-node_2991
GB104027057500,node_2998-to-node_2995
GB104027057510,node_3000-to-node_3001
GB104027057520,node_3004-to-node_3005
GB104027057530,node_3289-to-node_3287
GB104027057541,node_3301-to-node_3302
GB104027057550,node_3308-to-node_3304
GB104027057560,node_3311-to-node_3310
GB104027057600,node_3323-to-node_3322
GB104027057610,node_3328-to-node_3329
GB104027057620,node_3330-to-node_3331
GB104027057630,node_3331-to-node_2844
GB104027057640,node_3334-to-node_3335
GB104027057660,node_3340-to-node_3341
GB104027057670,node_3345-to-node_3346
GB104027057700,node_3352-to-node_3348
GB104027057710,node_2854-to-node_3350
GB104027057720,node_3283-to-node_3284
GB104027057750,node_4945-to-node_4942
GB104027057760,node_4953-to-node_4954
GB104027057771,node_3338-to-node_3333
GB104027057772,node_4962-to-node_4961
GB104027057773,node_4972-to-node_4973
GB104027062510,node_4979-to-node_4978
GB104027062530,node_5003-to-node_5004
GB104027062540,node_5157-to-node_5158
GB104027062550,node_5161-to-node_5160
GB104027062560,node_5169-to-node_5170
GB104027062570,node_5176-to-node_5175
GB104027062580,node_5180-to-node_5179
GB104027062590,node_5183-to-node_5184
GB104027062600,node_5186-to-node_5187
GB104027062610,node_5193-to-node_5194
GB104027062620,node_5201-to-node_5198
GB104027062631,node_5253-to-node_5163
GB104027062632,node_5199-to-node_4816
GB104027062642,node_5254-to-node_5252
GB104027062650,node_5255-to-node_5256
GB104027062660,node_5262-to-node_5260
GB104027062670,node_5268-to-node_5264
GB104027062680,node_5269-to-node_5270
GB104027062690,node_5272-to-node_5273
GB104027062700,node_5278-to-node_5274
GB104027062710,node_4864-to-node_4861
GB104027062720,node_4430-to-node_4431
GB104027062731,node_20446-to-node_2629
GB104027062740,node_4437-to-node_4438
GB104027062750,node_4442-to-node_4441
GB104027062760,node_3279-to-node_3280
GB104027062770,node_4457-to-node_4458
GB104027062780,node_4464-to-node_4460
GB104027062810,node_4045-to-node_4046
GB104027062820,node_4465-to-node_4466
GB104027062830,node_4470-to-node_4469
GB104027062850,node_2626-to-node_2627
GB104027062870,node_2664-to-node_2665
GB104027062880,node_2669-to-node_2670
GB104027062891,node_5290-to-node_5287
GB104027062900,node_5559-to-node_5560
GB104027062920,node_5567-to-node_5568
GB104027062930,node_5673-to-node_5672
GB104027062940,node_5675-to-node_5676
GB104027062950,node_3353-to-node_3354
GB104027062960,node_3357-to-node_2876
GB104027062970,node_3356-to-node_3357
GB104027062990,node_3265-to-node_3266
GB104027063010,node_3272-to-node_3269
GB104027063020,node_3276-to-node_3273
GB104027063033,node_3232-to-node_3233
GB104027063034,node_5558-to-node_3292
GB104027063050,node_3374-to-node_3358
GB104027063070,node_3364-to-node_3365
GB104027063090,node_3371-to-node_3369
GB104027063110,node_3228-to-node_3229
GB104027063120,node_3231-to-node_3368
GB104027063140,node_3238-to-node_3239
GB104027063150,node_3243-to-node_3244
GB104027063171,node_3246-to-node_3247
GB104027063172,node_3248-to-node_3249
GB104027063173,node_3260-to-node_3259
GB104027063180,node_3197-to-node_3193
GB104027063200,node_5689-to-node_3242
GB104027063230,node_5685-to-node_5686
GB104027063250,node_5694-to-node_5695
GB104027063260,node_5681-to-node_5682
GB104027063280,node_3903-to-node_3904
GB104027063290,node_5813-to-node_5814
GB104027063301,node_3326-to-node_3327
GB104027063310,node_5819-to-node_5820
GB104027063320,node_5826-to-node_5827
GB104027063370,node_5850-to-node_5851
GB104027063380,node_5858-to-node_5856
GB104027063411,node_5931-to-node_5932
GB104027063420,node_5936-to-node_5934
GB104027063430,node_5941-to-node_5942
GB104027063440,node_5948-to-node_5947
GB104027063450,node_5950-to-node_5951
GB104027063460,node_4154-to-node_4151
GB104027063470,node_4153-to-node_4154
GB104027063480,node_4159-to-node_4155
GB104027063490,node_4160-to-node_4161
GB104027063500,node_4172-to-node_4169
GB104027063510,node_4177-to-node_4174
GB104027063520,node_4308-to-node_4182
GB104027063530,node_4305-to-node_4306
GB104027063540,node_4312-to-node_4310
GB104027063550,node_4313-to-node_4314
GB104027063560,node_4319-to-node_4316
GB104027063570,node_4320-to-node_4321
GB104027063580,node_4326-to-node_4322
GB104027063590,node_4327-to-node_4328
GB104027063610,node_20421-to-node_20448
