date,simulation,observation
2005-01-07,0.32114931891279136,5.33
2005-02-03,0.7075969819958441,5.57
2005-03-10,0.3181307608661554,4.83
2005-04-07,0.5150479530963766,4.0
2005-05-09,0.8978758303194064,3.87
2005-06-13,0.9956031322710499,3.61
2005-07-08,1.0213062320386375,3.04
2005-08-01,0.9763472258101394,2.36
2005-09-06,1.0033342761415205,3.23
2005-10-03,0.8449807971465851,2.36
2005-11-14,0.9337675191918903,4.24
2005-12-06,0.7119420878540254,5.67
2013-01-10,0.11392826540507119,6.25
2013-02-15,0.08918769357567566,5.17
2013-02-21,0.09157979805091278,5.87
2013-03-27,0.1078961707636442,4.73
2013-04-22,0.07470530920659442,4.86
2013-06-12,0.05936652189802043,3.81
2013-07-24,0.045224153700188424,3.47
2013-08-28,0.09939492822504607,3.01
2013-09-10,0.08442589977153607,2.48
2013-10-09,0.23605665697452086,2.65
2013-10-31,0.7183837787923781,3.82
2013-11-26,0.5883148916824309,5.27
2014-01-09,0.30723902137081416,4.35
2014-02-17,0.18230559609836974,4.59
2014-03-04,0.19129115134204602,4.5
2014-06-20,0.21217387540813076,3.93
2014-09-04,0.20576271658413528,3.2
2014-12-01,0.5640310390398209,4.25
2015-01-07,0.25125706665470643,4.18
2015-04-09,0.17879415152674977,4.39
2015-07-01,0.11535422763225892,3.65
