date,simulation,observation
2013-01-21,0.22567242095759538,4.7
2013-02-05,0.11756023832831976,5.1
2013-04-12,0.08508762287594564,6.05
2013-04-24,0.11819292829076189,4.78
2013-04-26,0.17184236134572078,4.55
2013-05-28,0.11040067596476663,4.48
2013-06-28,0.08545705208729217,4.69
2013-08-06,0.16960910426201925,4.1
2013-09-10,0.17318560555199541,3.19
2013-10-23,0.08897501662500702,5.2
2013-11-11,0.24082166538655675,4.2
2013-11-26,0.2655198614738115,2.45
2014-01-27,0.2036021013013901,3.35
2014-02-13,0.1965542016907387,4.17
2014-03-26,0.19663856768924626,4.82
2014-04-22,0.1576493446575199,4.15
2014-07-16,0.22691832573962856,5.04
2014-10-03,0.25311180952927825,2.45
2015-02-12,0.12588997836311142,4.14
2015-05-07,0.14399504262199309,2.39
2015-08-18,0.1885940536045258,1.48
2015-11-11,0.10360372423744282,2.81
2016-03-10,0.24228348336432654,3.49
2016-04-06,0.2673047566350511,4.0
2016-04-11,0.2713773015452695,3.21
2016-04-18,0.3328371995205038,3.69
2016-04-25,0.310088380498413,3.99
2016-05-03,0.2974037508709808,4.12
2016-05-12,0.12942025291042963,3.7
2016-05-19,0.30471532154242587,3.46
2016-05-23,0.32184504627470806,3.84
2016-06-03,0.3156354798327881,4.21
2016-06-07,0.18706577704439253,4.57
2016-06-16,0.11974636712452491,3.76
2016-06-21,0.3136570996589438,3.54
2016-06-28,0.3159729227643428,3.73
2016-07-06,0.32316478503333573,4.51
2016-07-14,0.323018288257648,4.39
2016-07-21,0.26231699369453887,4.68
2016-07-27,0.23216536218544778,4.63
2016-08-03,0.27629374009302304,3.22
2016-08-10,0.3247166958791343,3.9
2016-08-19,0.2849653692359134,3.89
2016-08-25,0.15994862887498817,3.61
2016-09-02,0.3253190416853744,3.75
2016-09-11,0.31871680154757187,1.26
2016-09-15,0.07413543276786609,3.43
2016-09-21,0.32260927576122084,2.92
2016-09-27,0.3303458180117544,2.97
2016-10-12,0.31610935484612496,2.81
2016-10-18,0.2644260197982424,2.37
2016-10-25,0.288306972504735,1.86
2016-11-01,0.3012585301298504,1.36
2016-11-08,0.07511174524618865,1.35
2016-11-17,0.08520015956420957,1.88
2016-11-21,0.15312551822126136,4.75
2016-11-24,0.1714378513848886,4.28
2016-11-28,0.16611746901833577,2.71
2016-12-07,0.1513750773077709,2.29
2016-12-13,0.12432262906210124,1.95
2016-12-15,0.13529597088922482,1.9849999999999999
2017-01-06,0.06496916130983806,2.35
2017-01-10,0.18795651918915382,2.94
2017-01-20,0.13415780689375867,3.84
2017-01-31,0.04343875823679755,4.18
2017-02-02,0.07971668158672796,3.57
2017-02-09,0.20852622759286377,4.02
2017-02-13,0.13128880632543102,3.81
2017-02-21,0.09187533972738904,3.35
2017-03-01,0.16874948069946866,3.36
2017-03-07,0.14023578068006393,3.94
2017-03-17,0.1708684953180743,3.21
2017-03-22,0.11395560995534963,2.66
2017-03-28,0.17806831725825606,3.22
2017-04-04,0.1291126113546863,3.185
2017-04-10,0.17605972318908858,3.14
2017-04-21,0.12757267450217782,3.19
2017-04-26,0.178155104141385,3.37
2017-05-03,0.1526914917111842,3.03
2017-05-08,0.1747601480691406,3.05
2017-05-18,0.053500821357156864,2.0
2017-05-24,0.08564568024480683,2.77
2017-06-05,0.04176997054822815,2.8
2017-06-14,0.17221860689109558,2.78
2017-06-28,0.15800214428373555,2.25
2017-07-07,0.09168987673297692,1.875
2017-07-10,0.1679262736984507,1.83
2017-07-13,0.156767593949384,1.67
2017-07-19,0.06676926901878281,1.65
2017-08-01,0.1440035147332314,1.36
2017-08-02,0.02987970047600937,1.09
2017-08-08,0.03067671660383279,2.69
2017-08-14,0.13800596012313152,1.49
2017-08-25,0.1374246507637088,0.977
2017-09-08,0.13150118243165881,0.676
2017-09-13,0.12285757561583763,0.666
2017-09-18,0.04170226869138136,0.626
2017-09-25,0.053433189719444,0.72
2017-10-05,0.11140462685027505,0.936
2017-10-12,0.11573686869930196,0.506
2017-10-19,0.018327499091445435,0.55
2017-11-02,0.10469232273204167,0.656
2017-11-14,0.21305072335320696,3.19
2017-11-30,0.15958703378118907,1.77
2017-12-05,0.07339716410388517,1.45
2017-12-06,0.03184560800728967,1.24
2017-12-11,0.10914501780775106,5.25
2017-12-12,0.14713824949687446,5.14
2017-12-14,0.20071216320198176,4.43
2017-12-28,0.1257906250993456,5.2
2017-12-29,0.12046297394686524,3.73
2018-01-09,0.2538905425264455,4.22
2018-01-15,0.1642382866039774,3.56
2018-01-17,0.21322271310780394,3.96
2018-01-23,0.166510964675301,4.27
2018-02-08,0.12458300555530875,3.81
2018-02-12,0.15418981364050738,4.14
2018-02-21,0.17900827382666323,3.93
2018-02-28,0.21393519550722387,4.0
2018-03-07,0.08202119682471232,3.45
2018-03-12,0.10525813536175249,2.86
2018-03-21,0.24606208783027556,3.57
2018-03-28,0.2045516430043088,3.38
2018-04-04,0.23357470365806934,3.6
2018-04-12,0.26251301191586696,3.59
2018-04-17,0.16701703745278632,4.06
2018-04-24,0.28717519097290584,4.14
2018-05-03,0.28756933147467745,3.95
2018-05-08,0.20234290317247874,4.3
2018-05-17,0.292330609282607,4.75
2018-06-11,0.26988802919248017,4.71
2018-06-18,0.2545778402164545,4.71
2018-07-02,0.1493793995060071,4.78
2018-07-09,0.1698552051053044,4.5
2018-07-20,0.30691754856907033,4.74
2018-07-24,0.23109360275228402,4.13
2018-08-07,0.30747499949490126,3.67
2018-08-22,0.30567831836201803,3.2
2018-08-31,0.3105770883570267,2.95
2018-09-06,0.3104952498595252,2.67
2018-09-07,0.3106206187074167,2.71
2018-09-10,0.29753826160922187,2.71
2018-09-18,0.15282479105810381,1.87
2018-10-03,0.31431661233458563,1.4
2018-10-08,0.31259323686542034,0.891
2018-10-15,0.0546292583829237,7.46
2018-10-23,0.3036864061655238,1.3
2018-10-25,0.3066992741073048,0.789
2018-11-07,0.05435686560384242,0.645
2018-11-13,0.14801630050133738,7.16
2018-11-14,0.14810571105298262,5.73
2018-11-19,0.29569774191258047,1.85
2018-11-21,0.2686893231893218,1.56
2018-11-27,0.08574361874201927,1.35
2018-11-28,0.10386720132365881,3.11
2018-11-29,0.07362936942582307,7.39
2018-12-05,0.13565293685162552,6.57
2018-12-11,0.23272283170194605,5.87
2018-12-18,0.11070871046122598,6.79
2018-12-27,0.21206370333493135,5.43
2019-01-04,0.2229852016211945,3.82
2019-01-15,0.22280362770694992,3.33
2019-01-17,0.2138176112531734,2.88
2019-01-24,0.19859913364039272,3.78
2019-01-28,0.19465005455921217,3.82
2019-02-07,0.04898271484852104,5.15
2019-02-14,0.07112567149419857,4.47
2019-02-19,0.07386465318028905,3.98
2019-02-25,0.14108423843212348,3.86
2019-03-06,0.06886202757737234,2.73
2019-03-15,0.14788958357150847,3.65
2019-03-20,0.17741088184423465,3.62
2019-03-28,0.17554548039858103,3.67
2019-04-04,0.11897066650174376,3.04
2019-04-09,0.15080356843024423,3.19
2019-04-17,0.08645628401800078,3.23
2019-04-23,0.08628135607924964,3.43
2019-05-02,0.17668989864005089,3.31
2019-05-17,0.176545839831016,3.48
2019-05-20,0.08847053003168323,3.42
2019-05-22,0.08829501226538905,3.33
2019-05-30,0.08970116478880155,0.614
2019-06-11,0.05116943854977453,3.28
2019-06-18,0.17089095163759177,2.73
2019-06-26,0.08570343784947833,2.4
2019-07-01,0.17585116169823145,2.99
2019-07-09,0.1486557848797923,2.99
2019-08-05,0.17597198433773092,1.89
2019-08-14,0.05598321281139462,1.49
