date,simulation,observation
2011-10-31,0.5519663406564734,8.98
2011-12-06,0.07272253328520908,12.6
2012-01-19,0.06614749750447156,14.0
2012-02-20,0.2570799181682332,19.2
2012-03-23,0.2246523161088276,14.2
2012-04-03,0.011737572313825084,7.09
2012-05-04,4.469855647979559,18.9
2012-06-08,3.962552054073486,13.7
2012-07-09,1.8270521886282984,12.6
2012-08-03,4.921212249206517,14.2
2012-09-14,4.3858150382338845,16.2
2012-09-26,3.772433036839155,15.8
2012-10-30,3.2982146059952475,15.6
2012-12-14,0.35230459802325215,19.1
2013-01-22,0.6443968735113801,20.8
2013-02-01,0.35651136393240473,20.4
2013-02-19,0.721477532899063,19.6
2013-03-21,0.7969827349342321,14.9
2013-04-15,0.37775071599966376,19.2
2013-05-16,0.7876619188948044,11.4
2013-07-12,0.4051659516462868,14.5
2013-07-31,0.2862021065683215,9.64
2013-09-10,0.8002816917275946,12.5
2013-09-30,0.7865061828082541,14.9
2013-10-28,0.06963507398794046,13.7
2013-11-19,1.4732776264200595,16.1
2014-01-03,0.5157407274992155,16.0
2014-02-11,0.5026546183841396,19.2
2014-03-03,1.0316546763822778,16.5
2014-04-10,0.9532301178026593,14.9
2014-05-12,0.3209195551080668,9.52
2014-06-10,0.8731884418529829,7.52
2014-07-01,0.941530445944219,12.1
2014-08-01,0.932320595366538,13.3
2014-09-04,0.4373207256252066,12.3
2014-10-01,0.8670206347202742,11.6
2014-11-05,0.6408222048422477,14.9
2014-11-24,0.8370596833066437,19.1
2015-01-05,0.943632012947716,19.6
2015-02-04,1.32863715192358,19.5
2015-03-02,1.1348853138064747,12.4
2015-04-01,0.48894955506888593,16.8
2015-05-01,1.1759131950509114,16.1
2015-06-15,0.9161202750921787,9.91
2015-07-02,0.5000738327427778,11.8
2015-08-07,0.937301976210093,12.6
2015-09-02,0.6968801361508037,11.7
2015-10-01,0.6769202415368505,13.8
2015-11-16,0.17480891220354347,8.19
2015-11-23,0.019270009464163372,14.8
2016-01-07,1.7954076185580383,19.5
2016-02-04,1.1205602458260295,18.9
2016-03-02,1.6466914640574146,17.5
2016-04-04,0.7440899133455876,14.8
2016-05-18,0.588437377005633,15.8
2016-06-06,1.3779714112918138,15.0
2016-07-07,0.2630279070206945,15.6
2016-08-05,1.2040761915912654,14.0
2016-08-26,1.0961421170382568,12.1
2016-11-03,0.8093212078162378,12.4
2016-11-17,0.289064864326995,13.4
2016-12-07,0.2945245697039377,16.0
2017-01-11,0.23365928037722072,15.9
2017-02-14,1.3858491276266975,19.7
2017-03-02,0.8556299473432266,14.9
2017-03-29,0.4768691052837152,16.8
2017-05-04,0.5276060047109142,16.3
2017-06-12,0.9735358873465195,14.6
2017-07-05,0.8500193569539075,14.0
2017-08-03,0.7896019482929622,13.8
2017-09-18,0.4726889188616248,9.84
2017-10-05,0.4935661174642483,10.8
2017-11-03,0.05053791684714665,13.6
2017-12-06,0.15674037494567405,13.9
2018-01-16,0.2517221403855016,18.4
2018-02-05,2.065669503195646,18.1
2018-03-07,0.334171316003469,17.7
2018-04-03,0.35458777862116314,19.0
2018-05-09,1.0135106216806675,15.4
2018-06-06,0.9600407848764853,16.5
2018-07-03,0.9625691690145329,16.3
2018-08-08,0.9570387935684329,14.7
2018-09-10,0.9396008015066893,14.0
2018-10-03,0.9359522283427243,14.6
2018-11-06,0.4354618546924906,13.5
2018-12-10,0.30081849744816336,33.5
2019-01-10,1.4844555873978689,18.5
2019-02-01,1.259914104895141,19.5
2019-03-11,1.041430150865062,19.2
2019-04-03,1.0336895611961179,16.2
2019-05-07,0.8662070994071426,13.4
2019-06-10,0.05484185797262515,10.7
2019-07-08,3.8487477404927515,14.9
2019-08-13,3.8449964603596967,11.0
2019-09-03,3.799825232616619,12.0
2019-10-17,1.7725293270278215,15.9
2019-12-03,0.6153113534270052,19.0
2020-01-07,0.703696021284753,19.0
2020-02-05,1.071692543869627,18.0
2020-03-09,0.7248319589371196,19.0
2022-04-01,0.916235815620422,16.0
2022-05-03,0.6937510411396561,15.0
2022-06-08,0.3545172969180555,12.9
2022-07-06,0.7920828880340391,14.0
2022-08-01,0.744730277523207,11.9
2022-09-08,0.601062705902823,8.36
2022-10-04,0.3584348768072445,12.0
2022-11-08,0.45410551990338166,16.9
2022-12-02,2.2108948242831676,18.9
2023-01-19,1.4660154988362748,20.0
2023-02-03,0.8241421249516989,19.0
2023-03-02,1.5380886043177362,15.0
