date,simulation,observation
2003-01-29,0.6785628544550609,10.1
2003-02-27,0.37337145833500995,8.08
2003-04-01,0.5913208487106018,6.52
2003-05-01,0.3079628586435614,4.73
2003-05-21,0.3683489561564562,3.93
2003-06-25,0.6900939497769826,3.11
2003-08-06,0.32377633209851403,2.46
2003-09-19,0.28076575727932407,1.97
2003-10-28,0.40430591407367183,2.85
2003-11-05,0.1472100620804008,2.39
2003-11-21,0.02319245904278347,2.06
2003-12-11,0.21478652751113253,6.32
2004-01-26,0.45588467996753623,27.0
2004-03-01,0.4640664287426901,12.1
2004-03-29,0.22769310451858438,7.54
2004-05-06,0.40270637666878395,14.4
2004-05-28,0.4389625574853507,5.69
2004-06-25,0.3301254967222338,2.92
2004-07-29,0.338104853841051,2.2
2004-08-24,0.03591883448162129,2.17
2004-09-23,0.08359624903156482,2.1
2004-10-22,0.13404122895155307,16.1
2004-11-18,0.01610888748369703,4.58
2004-12-13,0.09774877685961497,5.4
2005-01-26,0.11845147864943491,9.9
2005-03-01,0.035775422366790245,9.1
2005-03-22,0.06793948725247333,6.74
2005-05-17,0.16313710461647293,2.99
2005-06-15,0.17162279739517472,1.93
2005-07-11,0.15449983107858545,2.12
2005-08-09,0.14079763410479776,1.59
2005-09-27,0.05311181810809768,3.56
2005-10-17,0.01819191667218384,2.52
2005-11-04,0.15469225815225723,12.1
2005-11-23,0.07517472395958891,5.88
2005-12-02,0.028330314244998194,4.17
2006-01-17,0.025093564912027733,9.09
2006-02-20,0.030498743797464162,8.67
2006-03-22,0.034045548668669365,5.45
2006-04-27,0.03797036293304116,3.29
2006-05-24,0.022284844294450767,8.82
2006-06-28,0.12823364463502535,2.64
2006-07-27,0.06749702414812467,1.39
2006-08-30,0.07776219074154972,1.29
2006-09-27,0.05709930866540788,1.57
2006-10-30,0.03938489335270331,2.36
2006-11-20,0.012719415134942435,5.27
2006-12-12,0.2764541780586043,14.7
2007-01-23,0.7216748843615086,11.2
2007-02-20,0.1519952258299037,11.5
2007-03-20,0.6335323600357807,7.25
2007-05-10,0.2908120710970579,3.24
2007-06-04,0.4352132108237804,4.02
2007-07-09,0.5465112399546165,2.32
2007-08-01,0.4240404943374562,2.3
2007-08-22,0.4045564857252842,1.71
2007-09-20,0.18920054239508344,1.19
2007-10-17,0.09929957744068152,2.41
2007-11-12,0.2059124525205348,1.93
2007-12-06,0.01980468809006027,5.08
2008-01-29,0.12219509063215767,9.11
2008-02-20,0.22440198246579865,5.86
2008-03-25,0.2632942071124758,10.4
2008-04-23,0.12305842716017683,3.52
2008-05-28,0.06410487858061996,7.79
2008-06-30,0.17440047584144247,2.0
2008-07-22,0.20631205740624928,2.2
2008-08-15,0.13326233870824378,4.02
2008-09-15,0.12867143256247726,1.79
2008-10-14,0.04886369057913067,2.17
2008-11-11,0.030279888188970948,16.6
2008-11-26,0.0821960606187963,8.17
2009-01-29,0.2980450860512711,12.2
2009-03-09,0.17657867064429433,6.24
2009-03-26,0.2493480840149079,4.78
2009-05-05,0.18937463263014992,2.19
2009-06-01,0.20767436133999995,2.05
2009-06-26,0.26782082367991145,1.2
2009-09-03,0.0995567576314578,1.23
2009-10-01,0.2101791115173346,0.916
2009-10-13,0.14508132267171175,1.06
2009-11-02,0.03211436825413278,1.35
2009-11-20,0.07508156345838919,7.64
2009-12-10,0.5536479547288351,11.9
2010-01-25,0.2603428665649771,11.5
2010-02-23,0.727632453336602,7.28
2010-03-17,0.5623602738954216,8.05
2010-04-20,0.809462422471137,4.46
2010-05-28,0.7281793170552796,2.85
2010-06-14,0.811479340050945,3.39
2010-07-19,0.49544904643564724,1.32
2010-08-18,0.7115283814249009,1.99
2010-09-10,0.5149757950452741,1.75
2010-10-21,0.389578917158209,2.75
2010-11-15,0.23759879860373934,5.11
2010-12-09,0.1372713386724425,8.86
2011-01-24,0.13061835134020033,10.6
2011-02-10,0.09553571590855808,6.55
2011-03-11,0.1629289989066543,7.82
2011-04-27,0.3361027222529318,4.01
2011-06-09,0.24730071968691944,1.57
2011-06-23,0.2730575225138499,2.34
2011-07-22,0.06293965967554123,1.93
2011-08-08,0.11373084148618957,1.24
2011-09-09,0.06844641619839535,1.27
2011-10-06,0.09517632690771921,1.67
2011-10-31,0.0447825450438785,1.3
2011-12-06,0.05823921997603768,1.82
2012-01-25,0.11317700962968695,5.73
2012-02-28,0.07019980878221402,4.4
2012-03-21,0.06560354012113473,2.96
2012-04-26,0.0665973997511042,8.35
2012-05-11,0.5336236276851092,4.37
2012-06-21,0.2764435096900805,2.85
2012-07-09,0.19547488102710642,4.3
2012-08-10,0.3570084517976426,3.48
2012-09-10,0.211224148178911,2.62
2012-10-15,0.2705798916813862,7.18
2012-10-22,0.10581173909135111,18.0
2012-11-15,0.10183860477412442,7.95
2013-03-08,0.1869084058181833,5.57
2013-06-11,0.8457069956810356,2.85
2013-09-04,0.627873627944026,2.01
2013-12-02,0.1609634693000292,8.17
2014-01-02,0.16660565665718027,5.69
2014-04-04,0.3710765166835308,3.89
2014-07-22,0.39947903969179677,2.32
2014-10-03,0.3401960043668152,3.49
2015-02-02,0.25984529632874265,5.44
2015-05-01,0.22131703325574573,3.5
2015-08-03,0.10913256180715185,2.08
2015-11-03,0.01488118847692199,2.96
2016-03-02,0.12669558411604817,5.13
2016-06-01,0.07813597267759423,14.6
2016-09-05,0.13349219548514143,2.12
2016-12-07,0.04390671756821127,5.27
2017-01-05,0.06888874790979783,4.61
2017-04-18,0.13788128282539164,4.05
