date,simulation,observation
2000-01-12,0.07655781594616375,3.36
2000-02-04,0.12394115833459281,4.44
2000-02-24,0.24557430734504793,3.89
2000-04-13,0.7008105370166449,6.61
2000-05-19,1.2343271136789646,3.61
2000-06-27,1.7336318533112387,5.98
2000-07-14,2.3305010871446403,7.78
2000-08-03,2.0198561054284725,3.34
2000-10-06,1.828530055531581,3.73
2000-10-31,1.6037263134440518,3.05
2000-11-29,2.8756404223606102,3.3
2001-01-29,4.304308090929283,4.38
2001-02-19,4.243219684901893,6.99
2001-04-06,1.2479720173762274,3.74
2001-05-02,3.880627593477812,8.37
2001-06-01,3.9572922736273006,12.8
2001-07-03,3.7467374685118093,9.9
2002-01-11,6.387091150487143,6.13
2002-02-07,3.1215743251772707,4.87
2002-03-08,4.108084285942207,5.8
2002-04-03,3.998216717463631,7.13
2002-05-24,4.828547520264218,4.04
2002-06-19,5.16773134954166,6.15
2002-07-12,5.933811375557284,5.74
2002-08-21,6.758361493072822,6.11
2002-09-10,1.929303479594312,3.8
2002-10-04,9.156133783520024,6.75
2002-10-24,2.4550716461630486,4.62
2002-12-11,7.046460744966217,5.48
2003-01-10,5.580459567611712,5.29
2003-01-30,5.242991036752581,5.16
2003-02-21,4.961418250786982,5.82
2003-04-11,5.8506334405351055,7.99
2003-05-20,3.814551919073765,3.22
2003-06-09,5.2092236291737555,5.08
2003-07-07,6.165180533739532,8.54
2003-08-06,6.069600885585209,0.182
2003-09-02,9.509909673186847,9.75
2003-09-29,10.860345526314578,7.84
2003-11-03,10.754443089116622,5.49
2003-11-27,9.806833841650667,7.55
2004-01-12,3.9422252911616016,6.67
2004-02-06,1.6994436346210828,4.52
2004-03-08,6.309903127139564,13.7
2004-04-06,4.136233208402664,6.58
2004-05-12,5.83782090637284,7.0
2004-07-02,3.531522145089341,11.3
2004-07-16,3.012026381480302,5.11
2004-09-03,5.829235365364308,6.42
2004-09-24,4.962378949237845,7.0
2004-10-20,2.7803412741828515,3.87
2004-11-01,5.401242757050003,1.53
2004-11-25,4.5212097115085585,6.87
2005-01-13,4.636367810819141,5.66
2005-01-25,5.191130953874667,6.84
2005-02-09,2.9325016984646606,9.86
2005-03-30,3.6881929794132606,9.38
