date,simulation,observation
2011-06-23,0.1637254858840665,0.406
2011-07-21,0.08268885014626884,0.386
2011-08-22,0.12448928174291497,0.346
2011-09-14,0.19557822074900869,0.336
2011-10-19,1.012050865787724,0.386
2011-12-12,0.5524185344701035,0.536
2012-01-05,0.33361237335098676,0.326
2012-02-08,0.4669633551938785,0.616
2012-03-23,0.20361100997127624,0.426
2012-06-06,0.6311673324655949,0.326
2012-06-21,0.5204182412308045,0.376
2012-07-04,0.4745243488490173,0.196
2012-07-13,0.47824754053486607,0.276
2012-07-20,0.4973364599303927,0.196
2012-09-20,0.32821761340819744,0.306
2012-10-08,0.2756490776356028,0.436
2012-11-07,0.23461587097105158,0.406
2012-12-11,0.17202679358274037,0.436
2013-02-15,0.12912465570895154,0.536
2013-03-07,0.10077023485047178,0.596
2013-04-16,0.06194276875499067,0.586
2013-04-24,0.06412971791757979,0.486
2013-06-03,0.45917092070846793,0.346
2013-06-06,0.35969272214359693,0.406
2013-07-15,0.3443222689636916,0.296
2013-08-07,0.6117492325305279,0.336
2013-09-18,0.6759839368190735,0.336
2013-10-29,0.3479442346084056,0.336
2013-11-20,0.3039738344517493,0.306
2013-12-12,0.2696890981564364,0.546
2014-01-28,0.2091775193234959,0.296
2014-02-13,0.20600433065571838,0.396
2014-04-02,0.2532468795418856,0.456
2014-06-04,0.5895605577635388,0.296
2014-06-20,0.49807576572382156,0.296
2014-07-04,0.4216349771513996,0.266
2014-07-30,0.5495827392767435,0.256
2014-08-13,0.544812687132272,0.266
2014-10-02,0.5972661158332762,0.246
2014-11-05,0.5339196692358867,0.386
2014-11-19,0.39968285313756835,0.456
2014-12-08,0.301957652667389,0.406
2015-01-15,0.20500479453901133,0.476
2015-02-09,0.10496800891250639,0.496
2015-07-08,0.5073304616865784,0.216
2015-07-14,0.5279223027847125,0.226
2015-07-29,0.5346796961030194,0.196
2015-08-20,0.44157948145740916,0.266
2015-09-02,0.5862661401270879,0.236
2015-10-21,0.34313024663315167,0.196
2015-11-05,0.2497904314305756,0.356
2015-11-19,0.35257950546518085,0.25
2015-12-07,0.15369077692947827,0.43
2015-12-21,0.16664142515611016,0.426
2016-01-26,0.07338183862627035,0.458
2016-02-11,0.16338142788555593,0.463
2016-05-25,0.43434061149995196,0.258
2016-06-13,0.2189381212791275,0.278
2016-06-27,0.42890007345816245,0.243
2016-08-18,0.3609447992906232,0.29
2016-09-26,0.3780681093589424,0.256
2016-10-13,0.4534532722735014,0.166
2016-12-13,0.16790108755327973,0.432
2017-01-19,0.1941806203309147,0.467
2017-03-28,0.2003901932196103,0.415
2017-05-04,0.1282074118879555,0.306
2017-06-26,0.22735861868912013,0.263
2017-07-18,0.11551308257126545,0.227
2023-07-17,0.29634578856783594,0.306
2023-08-18,0.5333291850883677,0.256
2023-09-14,0.5371064007572907,0.206
2023-10-25,0.2950113361411234,0.376
2023-11-28,0.2164954505325673,0.336
2023-12-18,0.07100520605149777,0.456
