date,simulation,observation
2007-01-29,0.37275650211752925,0.579
2007-02-28,0.3383117631050735,0.196
2010-05-24,0.14818133741918277,0.536
2010-06-24,0.15982303547949667,0.526
2010-07-12,0.33140074642458583,0.436
2010-08-05,0.33844842178348844,0.566
2010-09-02,0.22140392754926805,0.456
2010-10-13,0.8523091106486733,0.306
2010-11-03,0.6297718559619029,0.196
2010-11-23,0.6961630110586325,0.196
2011-01-13,0.44839022919703075,0.196
2011-02-09,0.3143371317971381,0.196
2011-03-23,0.16620518379878937,0.356
2011-05-10,0.32762098779236365,0.316
2011-07-06,0.2789787984614468,0.556
2011-08-17,0.7641206308892645,0.196
2011-08-31,0.849348449129521,0.206
2011-09-12,0.4151913399461547,0.256
2011-10-13,0.8242183616641962,0.196
2011-10-18,0.6313659591123972,0.196
2011-11-09,0.6528318081046552,0.296
2011-11-25,0.5412725467351218,0.196
2012-01-11,0.2447517331704038,0.386
2012-02-07,0.3246849926314851,0.326
2012-03-13,0.29297763193970056,0.326
2012-04-20,0.2692034853455652,0.196
2012-08-28,0.5391128255002143,0.196
2012-09-06,0.6627160028188468,0.436
2012-10-11,0.30213819433965255,0.446
2012-11-12,0.30987616035114296,0.246
2012-11-15,0.1960363753949454,0.196
2012-11-30,0.2543603223154887,0.406
