date,simulation,observation
2000-01-01,36.022811957016394,0.467
2000-01-02,37.27032424269715,0.441
2000-01-03,37.346041384478696,0.747
2000-01-04,36.02345181476359,0.557
2000-01-05,35.260492923189425,0.463
2000-01-06,34.56482249523797,0.454
2000-01-07,33.906391697402654,0.428
2000-01-08,33.224608358883245,0.445
2000-01-09,32.57393006671297,0.406
2000-01-10,31.937352840447463,0.356
2000-01-11,31.313809353206544,0.37
2000-01-12,30.71001589249556,0.411
2000-01-13,30.11579352925711,0.449
2000-01-14,29.51927171821498,0.399
2000-01-15,28.94395626921636,0.391
2000-01-16,28.38082303591057,0.388
2000-01-17,27.829002092498293,0.386
2000-01-18,27.28839913054866,0.385
2000-01-19,26.759051118221358,0.391
2000-01-20,26.23932225723007,0.385
2000-01-21,25.99961780550799,0.398
2000-01-22,25.29571770981195,0.667
2000-01-23,24.755447498602567,0.412
2000-01-24,24.272020955148346,0.348
2000-01-25,23.801317058247378,0.335
2000-01-26,23.340421058203283,0.348
2000-01-27,22.888973502664186,0.354
2000-01-28,22.644678682431017,0.449
2000-01-29,22.029669318987285,0.418
2000-01-30,21.594473077140226,0.367
2000-01-31,21.177063819736084,0.357
2000-02-01,21.72925228200797,0.714
2000-02-02,20.448391866102607,0.564
2000-02-03,19.998453939142816,0.385
2000-02-04,19.608125827400492,0.374
2000-02-05,19.229208508196226,0.363
2000-02-06,18.887506734472172,0.424
2000-02-07,18.888346234331927,0.548
2000-02-08,18.265334808287975,0.498
2000-02-09,17.814679310090206,0.382
2000-02-10,17.734155769588284,0.595
2000-02-11,17.240805388461848,0.453
2000-02-12,17.11397853765131,0.826
2000-02-13,16.509132130584327,0.494
2000-02-14,16.240873529480886,0.494
2000-02-15,15.961502228379915,0.523
2000-02-16,15.57441958859876,0.46
2000-02-17,15.284281685949685,0.471
2000-02-18,14.982470068543057,0.477
2000-02-19,14.6954072290366,0.442
2000-02-20,14.417036903464247,0.427
2000-02-21,14.14296173959753,0.425
2000-02-22,13.875454471194693,0.413
2000-02-23,13.613541506008575,0.423
2000-02-24,14.415912920249223,1.64
2000-02-25,14.095860427176413,0.901
2000-02-26,12.942726671835572,0.619
2000-02-27,12.82412298462602,0.584
2000-02-28,12.505848029033352,0.614
2000-02-29,12.648089533778677,0.884
2000-03-01,12.028076078523094,0.596
2000-03-02,12.30795948724182,0.603
2000-03-03,11.56302475525636,1.05
2000-03-04,11.31128094873831,0.565
2000-03-05,11.09405448442138,0.513
2000-03-06,10.88395848257025,0.514
2000-03-07,10.679158534461479,0.493
2000-03-08,10.479232129701137,0.497
2000-03-09,10.283946211284478,0.469
2000-03-10,10.093069156739606,0.472
2000-03-11,9.906407406239333,0.459
2000-03-12,9.723795334043746,0.463
2000-03-13,9.545086410821472,0.454
2000-03-14,9.370149848678805,0.457
2000-03-15,9.198860514635575,0.446
2000-03-16,9.03112117354129,0.456
2000-03-17,8.866830770012427,0.476
2000-03-18,8.705898679920338,0.469
2000-03-19,8.548242119198688,0.459
2000-03-20,8.393778777275733,0.457
2000-03-21,8.242435569953372,0.461
2000-03-22,8.09414122800213,0.435
2000-03-23,7.954533539473876,0.483
2000-03-24,7.806673826507422,0.477
2000-03-25,7.704190896191038,0.519
2000-03-26,7.534133205224445,0.467
2000-03-27,7.39887366981542,0.47
2000-03-28,7.285627933869015,0.478
2000-03-29,7.146614844274379,0.543
2000-03-30,7.011043675680746,0.462
2000-03-31,6.886988256747163,0.443
2000-04-01,6.768123410275813,0.484
2000-04-02,7.63951136037703,0.757
2000-04-03,7.616786562563967,1.14
2000-04-04,7.0084480971501115,1.4
2000-04-05,6.377380733491978,0.664
2000-04-06,6.22871671493001,0.541
2000-04-07,6.113812501329401,0.511
2000-04-08,6.54640120621754,0.785
2000-04-09,5.9393643031252505,0.891
2000-04-10,5.806982300825841,0.559
2000-04-11,6.178109533643635,0.737
2000-04-12,6.459905634755496,0.971
2000-04-13,5.734112644394391,0.854
2000-04-14,6.326188412776327,0.909
2000-04-15,5.510838308802668,1.41
2000-04-16,5.441371325616802,0.828
2000-04-17,5.672675703746267,1.16
2000-04-18,5.389607541003067,0.916
2000-04-19,5.082242694023658,0.744
2000-04-20,5.1747803776569725,1.05
2000-04-21,4.894493668143842,0.708
2000-04-22,4.784132103423467,0.636
2000-04-23,4.698062591766505,0.587
2000-04-24,4.750370193025163,0.613
2000-04-25,5.450033712937462,1.07
2000-04-26,4.550734640517286,0.999
2000-04-27,4.419980973968575,0.69
2000-04-28,4.970506898908709,1.07
2000-04-29,4.329005193071046,0.765
2000-04-30,4.433450890728249,0.942
2000-05-01,4.169901135767568,0.652
2000-05-02,4.083262513912313,0.633
2000-05-03,4.008901984012179,0.606
2000-05-04,3.9385940336068885,0.581
2000-05-05,3.871378060466398,0.59
2000-05-06,3.8069339038005556,0.562
2000-05-07,3.744883437062895,0.563
2000-05-08,3.6955531024813753,0.571
2000-05-09,3.626651031895944,0.582
2000-05-10,3.8457613188181745,0.687
2000-05-11,3.928850535067571,0.991
2000-05-12,3.5146281449910686,0.671
2000-05-13,3.445553954377034,0.688
2000-05-14,3.3805043629237286,0.647
2000-05-15,3.3248871288530197,0.599
2000-05-16,3.2725543177191234,0.584
2000-05-17,3.268657078119171,0.608
2000-05-18,3.7316258351642064,0.817
2000-05-19,3.1921524479400163,0.747
2000-05-20,3.7075575898071773,0.794
2000-05-21,3.2528661692788465,1.07
2000-05-22,3.0565134249832004,0.701
2000-05-23,3.0103293193459506,0.669
2000-05-24,3.767000746636772,1.06
2000-05-25,2.9786883590916786,0.712
2000-05-26,4.047859189258656,1.62
2000-05-27,4.241207811561316,1.77
2000-05-28,4.107517578744557,2.13
2000-05-29,3.5731043760825276,1.01
2000-05-30,2.9034225799213953,0.865
2000-05-31,2.7969832344887973,0.751
2000-06-01,2.7315571410920847,0.711
2000-06-02,2.675795269651349,0.681
2000-06-03,2.625597987325211,0.688
2000-06-04,2.5795957951225748,0.67
2000-06-05,2.537051918816731,0.677
2000-06-06,2.5435723411438396,0.809
2000-06-07,2.466737831155955,0.68
2000-06-08,2.429358460505496,0.683
2000-06-09,2.4012818308923047,0.683
2000-06-10,2.362385478921598,0.671
2000-06-11,2.330677079036238,0.656
2000-06-12,2.30049369507288,0.657
2000-06-13,2.2713882779690255,0.634
2000-06-14,2.243220201651607,0.591
2000-06-15,2.215889811269288,0.553
2000-06-16,2.1893080441763546,0.519
